,time,tavg,tmin,tmax,prcp,snow,wspd,airport
0,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,CLT
1,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,CLT
2,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,CLT
3,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,CLT
4,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,CLT
5,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,CLT
6,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,CLT
7,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,CLT
8,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,CLT
9,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,CLT
10,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,CLT
11,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,CLT
12,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,CLT
13,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,CLT
14,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,CLT
15,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,FLL
16,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,FLL
17,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,FLL
18,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,FLL
19,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,FLL
20,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,FLL
21,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,FLL
22,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,FLL
23,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,FLL
24,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,FLL
25,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,FLL
26,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,FLL
27,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,FLL
28,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,FLL
29,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,PHX
30,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,RSW
31,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,RSW
32,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,RSW
33,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,RSW
34,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,RSW
35,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,RSW
36,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,RSW
37,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,RSW
38,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,ATL
39,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,ATL
40,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,ATL
41,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,ATL
42,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,ATL
43,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,ATL
44,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,ATL
45,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,ATL
46,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,CLT
47,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,CLT
48,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,CLT
49,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,CLT
50,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,CLT
51,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,CLT
52,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,CLT
53,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,CLT
54,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,DTW
55,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,DTW
56,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,DTW
57,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,PBI
58,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,PBI
59,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,PBI
60,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,PBI
61,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,PBI
62,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,PIT
63,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,PIT
64,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,PIT
65,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,PIT
66,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,PIT
67,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,PIT
68,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,PIT
69,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,PIT
70,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,PIT
71,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,PIT
72,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,PIT
73,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,PIT
74,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,PIT
75,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,PIT
76,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,PIT
77,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,PIT
78,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,PIT
79,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,PIT
80,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,PIT
81,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,PIT
82,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,TPA
83,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,TPA
84,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,PHL
85,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,PHL
86,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,PHL
87,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,PHL
88,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,PHX
89,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,PHX
90,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,PHX
91,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,PHX
92,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,PIT
93,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,PIT
94,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,PIT
95,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,PIT
96,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,PIT
97,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,PIT
98,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,PIT
99,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,PIT
100,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,LAX
101,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,MIA
102,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,PHX
103,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,DFW
104,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,DFW
105,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,DFW
106,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,DFW
107,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,DFW
108,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,DFW
109,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,DFW
110,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,DFW
111,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,DFW
112,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,DFW
113,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,DFW
114,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,DFW
115,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,DFW
116,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,DFW
117,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,DFW
118,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,DFW
119,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,DFW
120,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,DFW
121,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,DFW
122,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,DFW
123,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,DFW
124,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,DFW
125,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,DFW
126,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,DFW
127,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,DFW
128,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,DFW
129,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,DFW
130,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,DFW
131,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,LAS
132,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,LAS
133,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,LAS
134,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,LAS
